DRAIN_SQKM,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_SITE_M,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,HGA,HGB,HGC,HGD,PERMAVE,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,idw_precip,era5temp,date,qobs
299.3094,106.2754,227.0,44.0,47.0,4.4546,81.0098,0.1563,0.9877,5.4078,40.5838,54.0084,0.206,136.7958,21.2307,15.6146,31.9524,20.8086,5.7613,0.1281,36.1026,9.0818,2.2783,1.32,0.602,6.1173,0.657,0.0,2.116190952218801,2000-01-01,0.0
299.3094,106.2754,227.0,44.0,47.0,4.4546,81.0098,0.1563,0.9877,5.4078,40.5838,54.0084,0.206,136.7958,21.2307,15.6146,31.9524,20.8086,5.7613,0.1281,36.1026,9.0818,2.2783,1.32,0.602,6.1173,0.657,0.1947,5.80296055862442,2000-01-02,0.0
299.3094,106.2754,227.0,44.0,47.0,4.4546,81.0098,0.1563,0.9877,5.4078,40.5838,54.0084,0.206,136.7958,21.2307,15.6146,31.9524,20.8086,5.7613,0.1281,36.1026,9.0818,2.2783,1.32,0.602,6.1173,0.657,0.3,11.275874244720626,2000-01-03,0.0
299.3094,106.2754,227.0,44.0,47.0,4.4546,81.0098,0.1563,0.9877,5.4078,40.5838,54.0084,0.206,136.7958,21.2307,15.6146,31.9524,20.8086,5.7613,0.1281,36.1026,9.0818,2.2783,1.32,0.602,6.1173,0.657,13.7955,10.196301889448025,2000-01-04,0.0002
299.3094,106.2754,227.0,44.0,47.0,4.4546,81.0098,0.1563,0.9877,5.4078,40.5838,54.0084,0.206,136.7958,21.2307,15.6146,31.9524,20.8086,5.7613,0.1281,36.1026,9.0818,2.2783,1.32,0.602,6.1173,0.657,21.6002,5.035144242327476,2000-01-05,0.026
299.3094,106.2754,227.0,44.0,47.0,4.4546,81.0098,0.1563,0.9877,5.4078,40.5838,54.0084,0.206,136.7958,21.2307,15.6146,31.9524,20.8086,5.7613,0.1281,36.1026,9.0818,2.2783,1.32,0.602,6.1173,0.657,0.0,-2.2742061711211363,2000-01-06,0.0654
299.3094,106.2754,227.0,44.0,47.0,4.4546,81.0098,0.1563,0.9877,5.4078,40.5838,54.0084,0.206,136.7958,21.2307,15.6146,31.9524,20.8086,5.7613,0.1281,36.1026,9.0818,2.2783,1.32,0.602,6.1173,0.657,0.0,3.250954507259621,2000-01-07,0.0672
299.3094,106.2754,227.0,44.0,47.0,4.4546,81.0098,0.1563,0.9877,5.4078,40.5838,54.0084,0.206,136.7958,21.2307,15.6146,31.9524,20.8086,5.7613,0.1281,36.1026,9.0818,2.2783,1.32,0.602,6.1173,0.657,0.0,0.9768080371605948,2000-01-08,0.0624
299.3094,106.2754,227.0,44.0,47.0,4.4546,81.0098,0.1563,0.9877,5.4078,40.5838,54.0084,0.206,136.7958,21.2307,15.6146,31.9524,20.8086,5.7613,0.1281,36.1026,9.0818,2.2783,1.32,0.602,6.1173,0.657,0.0,3.399865415072952,2000-01-09,0.0567
299.3094,106.2754,227.0,44.0,47.0,4.4546,81.0098,0.1563,0.9877,5.4078,40.5838,54.0084,0.206,136.7958,21.2307,15.6146,31.9524,20.8086,5.7613,0.1281,36.1026,9.0818,2.2783,1.32,0.602,6.1173,0.657,18.9851,5.154866886294656,2000-01-10,0.1173
