DRAIN_SQKM,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_SITE_M,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,HGA,HGB,HGC,HGD,PERMAVE,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,idw_precip,era5temp,date,qobs
169.119,87.3411,177.0,40.0,41.0,3.0118,116.09,-0.4398,0.8981,4.5399,36.7476,58.7125,0.1994,144.0998,19.6149,23.6677,27.1392,24.6876,6.9636,0.2081,33.3154,3.8545,1.9376,1.572,0.4422,2.8977,0.4316,0.0,-1.4175915418746283,2000-01-01,0.0
169.119,87.3411,177.0,40.0,41.0,3.0118,116.09,-0.4398,0.8981,4.5399,36.7476,58.7125,0.1994,144.0998,19.6149,23.6677,27.1392,24.6876,6.9636,0.2081,33.3154,3.8545,1.9376,1.572,0.4422,2.8977,0.4316,0.0873,2.844514278476936,2000-01-02,0.0
169.119,87.3411,177.0,40.0,41.0,3.0118,116.09,-0.4398,0.8981,4.5399,36.7476,58.7125,0.1994,144.0998,19.6149,23.6677,27.1392,24.6876,6.9636,0.2081,33.3154,3.8545,1.9376,1.572,0.4422,2.8977,0.4316,1.3819,9.777462993805386,2000-01-03,0.0
169.119,87.3411,177.0,40.0,41.0,3.0118,116.09,-0.4398,0.8981,4.5399,36.7476,58.7125,0.1994,144.0998,19.6149,23.6677,27.1392,24.6876,6.9636,0.2081,33.3154,3.8545,1.9376,1.572,0.4422,2.8977,0.4316,7.4293,7.032933692221434,2000-01-04,0.0
169.119,87.3411,177.0,40.0,41.0,3.0118,116.09,-0.4398,0.8981,4.5399,36.7476,58.7125,0.1994,144.0998,19.6149,23.6677,27.1392,24.6876,6.9636,0.2081,33.3154,3.8545,1.9376,1.572,0.4422,2.8977,0.4316,9.2178,-0.5229991741994127,2000-01-05,0.0002
169.119,87.3411,177.0,40.0,41.0,3.0118,116.09,-0.4398,0.8981,4.5399,36.7476,58.7125,0.1994,144.0998,19.6149,23.6677,27.1392,24.6876,6.9636,0.2081,33.3154,3.8545,1.9376,1.572,0.4422,2.8977,0.4316,0.0,-6.291859012706425,2000-01-06,0.0006
169.119,87.3411,177.0,40.0,41.0,3.0118,116.09,-0.4398,0.8981,4.5399,36.7476,58.7125,0.1994,144.0998,19.6149,23.6677,27.1392,24.6876,6.9636,0.2081,33.3154,3.8545,1.9376,1.572,0.4422,2.8977,0.4316,0.0,-0.1076831750975202,2000-01-07,0.0007
169.119,87.3411,177.0,40.0,41.0,3.0118,116.09,-0.4398,0.8981,4.5399,36.7476,58.7125,0.1994,144.0998,19.6149,23.6677,27.1392,24.6876,6.9636,0.2081,33.3154,3.8545,1.9376,1.572,0.4422,2.8977,0.4316,0.2127,-2.0174484355612776,2000-01-08,0.0005
169.119,87.3411,177.0,40.0,41.0,3.0118,116.09,-0.4398,0.8981,4.5399,36.7476,58.7125,0.1994,144.0998,19.6149,23.6677,27.1392,24.6876,6.9636,0.2081,33.3154,3.8545,1.9376,1.572,0.4422,2.8977,0.4316,0.0,0.7980159614986064,2000-01-09,0.0004
169.119,87.3411,177.0,40.0,41.0,3.0118,116.09,-0.4398,0.8981,4.5399,36.7476,58.7125,0.1994,144.0998,19.6149,23.6677,27.1392,24.6876,6.9636,0.2081,33.3154,3.8545,1.9376,1.572,0.4422,2.8977,0.4316,3.1712,2.335795835067472,2000-01-10,0.0006
